        YEAR       MONTH         DAY        HOUR      MINUTE   N_Cluster         LON         LAT       IND_X       IND_Y     REFLECT   yyyyy_xx1   yyyyy_xx2 yyyyyyy_xx3     yyy_xx4     yyy_xx5       RIVER         CXE    PRECIPIT         VIL
   2014.0000     10.0000      1.0000      0.0000      0.0000      4.0000    -60.6914     -1.8689     85.0000     56.0000     27.8906      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      1.0000      2.6454      0.6173
   2014.0000     10.0000      1.0000      0.0000      0.0000      4.0000    -60.6714     -1.8689     86.0000     56.0000     31.1406      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      1.0000      4.3566      1.3635
   2014.0000     10.0000      1.0000      0.0000      0.0000      4.0000    -60.6514     -1.8689     87.0000     56.0000     34.0469      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      2.0000     10.3324      1.2160
   2014.0000     10.0000      1.0000      0.0000      0.0000      4.0000    -60.6314     -1.8689     88.0000     56.0000     37.0469      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      2.0000     16.5303      1.6258
   2014.0000     10.0000      1.0000      0.0000      0.0000      4.0000    -60.6114     -1.8689     89.0000     56.0000     25.3281      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      1.0000      1.7851      0.5106
   2014.0000     10.0000      1.0000      0.0000      0.0000      4.0000    -60.5914     -1.8689     90.0000     56.0000     27.2344      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      1.0000      2.3919      0.4755
   2014.0000     10.0000      1.0000      0.0000      0.0000      4.0000    -60.5714     -1.8689     91.0000     56.0000     29.0312      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      1.0000      3.1516      1.0052
   2014.0000     10.0000      1.0000      0.0000      0.0000      4.0000    -60.5514     -1.8689     92.0000     56.0000     42.6094      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      2.0000     39.5078      5.8182
   2014.0000     10.0000      1.0000      0.0000      0.0000      4.0000    -60.5314     -1.8689     93.0000     56.0000     42.1250      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      2.0000     36.6212      5.7981
   2014.0000     10.0000      1.0000      0.0000      0.0000      4.0000    -60.5114     -1.8689     94.0000     56.0000     43.0469      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      2.0000     42.3102      8.1355
   2014.0000     10.0000      1.0000      0.0000      0.0000      4.0000    -60.4914     -1.8689     95.0000     56.0000     39.7969      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      2.0000     25.4306      4.4158
   2014.0000     10.0000      1.0000      0.0000      0.0000      4.0000    -60.4714     -1.8689     96.0000     56.0000     45.8281      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      2.0000     65.4102      6.5612
   2014.0000     10.0000      1.0000      0.0000      0.0000      4.0000    -60.4514     -1.8689     97.0000     56.0000     36.7500      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      1.0000     10.3065      1.6668
   2014.0000     10.0000      1.0000      0.0000      0.0000      4.0000    -60.4314     -1.8689     98.0000     56.0000     33.2656      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      1.0000      6.0370      1.2496
   2014.0000     10.0000      1.0000      0.0000      0.0000      4.0000    -60.4114     -1.8689     99.0000     56.0000     26.4688      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      1.0000      2.1266      0.6502
   2014.0000     10.0000      1.0000      0.0000      0.0000      4.0000    -60.7314     -1.8889     83.0000     57.0000     26.6875      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      1.0000      2.1993      0.6143
   2014.0000     10.0000      1.0000      0.0000      0.0000      4.0000    -60.7114     -1.8889     84.0000     57.0000     31.2188      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      1.0000      4.4092      1.1961
   2014.0000     10.0000      1.0000      0.0000      0.0000      4.0000    -60.6914     -1.8889     85.0000     57.0000     35.8906      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      2.0000     13.7919      1.8881
   2014.0000     10.0000      1.0000      0.0000      0.0000      4.0000    -60.6714     -1.8889     86.0000     57.0000     40.5156      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      2.0000     28.4610      3.3734
   2014.0000     10.0000      1.0000      0.0000      0.0000      4.0000    -60.6514     -1.8889     87.0000     57.0000     40.1094      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      2.0000     26.7064      3.2418
   2014.0000     10.0000      1.0000      0.0000      0.0000      4.0000    -60.6314     -1.8889     88.0000     57.0000     37.5625      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      2.0000     17.9208      1.6781
   2014.0000     10.0000      1.0000      0.0000      0.0000      4.0000    -60.6114     -1.8889     89.0000     57.0000     33.0156      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      1.0000      5.8097      1.0739
   2014.0000     10.0000      1.0000      0.0000      0.0000      4.0000    -60.5914     -1.8889     90.0000     57.0000     34.8281      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      1.0000      7.6733      1.5645
   2014.0000     10.0000      1.0000      0.0000      0.0000      4.0000    -60.5714     -1.8889     91.0000     57.0000     30.1406      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      1.0000      3.7367      1.2076
   2014.0000     10.0000      1.0000      0.0000      0.0000      4.0000    -60.5514     -1.8889     92.0000     57.0000     37.0000      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      1.0000     10.7097      2.4645
   2014.0000     10.0000      1.0000      0.0000      0.0000      4.0000    -60.5314     -1.8889     93.0000     57.0000     42.6719      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      2.0000     39.8965      5.2694
   2014.0000     10.0000      1.0000      0.0000      0.0000      4.0000    -60.5114     -1.8889     94.0000     57.0000     50.3281      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      2.0000    132.3634     12.6788
   2014.0000     10.0000      1.0000      0.0000      0.0000      4.0000    -60.4914     -1.8889     95.0000     57.0000     51.2969      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      2.0000    154.0526     13.7552
   2014.0000     10.0000      1.0000      0.0000      0.0000      4.0000    -60.4714     -1.8889     96.0000     57.0000     46.4844      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      2.0000     72.4917      7.0704
   2014.0000     10.0000      1.0000      0.0000      0.0000      4.0000    -60.4514     -1.8889     97.0000     57.0000     29.5312      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      1.0000      3.4030      0.8923
   2014.0000     10.0000      1.0000      0.0000      0.0000      4.0000    -60.4314     -1.8889     98.0000     57.0000     27.0156      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      1.0000      2.3129      0.6792
   2014.0000     10.0000      1.0000      0.0000      0.0000      4.0000    -60.4114     -1.8889     99.0000     57.0000     22.5469      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      1.0000      1.1648      0.2757
   2014.0000     10.0000      1.0000      0.0000      0.0000      4.0000    -60.7314     -1.9089     83.0000     58.0000     26.5156      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      1.0000      2.1420      0.6480
   2014.0000     10.0000      1.0000      0.0000      0.0000      4.0000    -60.7114     -1.9089     84.0000     58.0000     26.6094      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      1.0000      2.1730      0.7328
   2014.0000     10.0000      1.0000      0.0000      0.0000      4.0000    -60.6914     -1.9089     85.0000     58.0000     38.1875      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      2.0000     19.7640      2.5771
   2014.0000     10.0000      1.0000      0.0000      0.0000      4.0000    -60.6714     -1.9089     86.0000     58.0000     38.7188      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      2.0000     21.4790      2.6220
   2014.0000     10.0000      1.0000      0.0000      0.0000      4.0000    -60.6514     -1.9089     87.0000     58.0000     35.8125      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      2.0000     13.6242      1.6983
   2014.0000     10.0000      1.0000      0.0000      0.0000      4.0000    -60.6314     -1.9089     88.0000     58.0000     41.8125      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      2.0000     34.8717      3.8373
   2014.0000     10.0000      1.0000      0.0000      0.0000      4.0000    -60.6114     -1.9089     89.0000     58.0000     41.9531      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      2.0000     35.6484      4.0201
   2014.0000     10.0000      1.0000      0.0000      0.0000      4.0000    -60.5914     -1.9089     90.0000     58.0000     35.8750      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      1.0000      9.0111      1.7332
   2014.0000     10.0000      1.0000      0.0000      0.0000      4.0000    -60.5714     -1.9089     91.0000     58.0000     31.8438      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      1.0000      4.8532      1.2184
   2014.0000     10.0000      1.0000      0.0000      0.0000      4.0000    -60.5514     -1.9089     92.0000     58.0000     32.5938      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      1.0000      5.4454      1.3136
   2014.0000     10.0000      1.0000      0.0000      0.0000      4.0000    -60.5314     -1.9089     93.0000     58.0000     43.7031      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      2.0000     46.8908      5.8248
   2014.0000     10.0000      1.0000      0.0000      0.0000      4.0000    -60.5114     -1.9089     94.0000     58.0000     46.0156      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      2.0000     67.3597      7.1303
   2014.0000     10.0000      1.0000      0.0000      0.0000      4.0000    -60.4914     -1.9089     95.0000     58.0000     47.2812      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      2.0000     82.1292      7.7794
   2014.0000     10.0000      1.0000      0.0000      0.0000      4.0000    -60.4714     -1.9089     96.0000     58.0000     36.0469      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      1.0000      9.2520      1.6367
   2014.0000     10.0000      1.0000      0.0000      0.0000      4.0000    -60.4514     -1.9089     97.0000     58.0000     34.7188      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      1.0000      7.5456      1.2473
   2014.0000     10.0000      1.0000      0.0000      0.0000      4.0000    -60.4314     -1.9089     98.0000     58.0000     22.0000      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      1.0000      1.0710      0.3226
   2014.0000     10.0000      1.0000      0.0000      0.0000      4.0000    -60.4114     -1.9089     99.0000     58.0000     20.7188      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      1.0000      0.8798      0.1576
   2014.0000     10.0000      1.0000      0.0000      0.0000      4.0000    -60.7514     -1.9289     82.0000     59.0000     21.4531      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      1.0000      0.9847      0.4179
   2014.0000     10.0000      1.0000      0.0000      0.0000      4.0000    -60.7314     -1.9289     83.0000     59.0000     21.9844      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      1.0000      1.0684      0.5971
   2014.0000     10.0000      1.0000      0.0000      0.0000      4.0000    -60.7114     -1.9289     84.0000     59.0000     29.2656      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      1.0000      3.2670      1.0072
   2014.0000     10.0000      1.0000      0.0000      0.0000      4.0000    -60.6914     -1.9289     85.0000     59.0000     35.5156      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      2.0000     13.0051      1.6436
   2014.0000     10.0000      1.0000      0.0000      0.0000      4.0000    -60.6714     -1.9289     86.0000     59.0000     32.4688      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      1.0000      5.3419      1.1710
   2014.0000     10.0000      1.0000      0.0000      0.0000      4.0000    -60.6514     -1.9289     87.0000     59.0000     33.3750      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      1.0000      6.1392      1.3297
   2014.0000     10.0000      1.0000      0.0000      0.0000      4.0000    -60.6314     -1.9289     88.0000     59.0000     36.5469      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      2.0000     15.2851      2.0157
   2014.0000     10.0000      1.0000      0.0000      0.0000      4.0000    -60.6114     -1.9289     89.0000     59.0000     37.1719      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      2.0000     16.8572      2.5093
   2014.0000     10.0000      1.0000      0.0000      0.0000      4.0000    -60.5914     -1.9289     90.0000     59.0000     30.1562      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      1.0000      3.7456      0.8314
   2014.0000     10.0000      1.0000      0.0000      0.0000      4.0000    -60.5714     -1.9289     91.0000     59.0000     30.6719      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      1.0000      4.0542      0.8552
   2014.0000     10.0000      1.0000      0.0000      0.0000      4.0000    -60.5514     -1.9289     92.0000     59.0000     30.2656      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      1.0000      3.8091      1.0844
   2014.0000     10.0000      1.0000      0.0000      0.0000      4.0000    -60.5314     -1.9289     93.0000     59.0000     37.0156      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      1.0000     10.7354      2.3510
   2014.0000     10.0000      1.0000      0.0000      0.0000      4.0000    -60.5114     -1.9289     94.0000     59.0000     36.4531      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      1.0000      9.8473      2.1898
   2014.0000     10.0000      1.0000      0.0000      0.0000      4.0000    -60.4914     -1.9289     95.0000     59.0000     36.2344      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      1.0000      9.5221      1.3934
   2014.0000     10.0000      1.0000      0.0000      0.0000      4.0000    -60.4714     -1.9289     96.0000     59.0000     29.0156      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      1.0000      3.1440      0.5684
   2014.0000     10.0000      1.0000      0.0000      0.0000      4.0000    -60.4514     -1.9289     97.0000     59.0000     29.7500      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      1.0000      3.5192      0.5984
   2014.0000     10.0000      1.0000      0.0000      0.0000      4.0000    -60.7514     -1.9489     82.0000     60.0000     20.4531      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      1.0000      0.8446      0.5806
   2014.0000     10.0000      1.0000      0.0000      0.0000      4.0000    -60.7314     -1.9489     83.0000     60.0000     22.5625      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      1.0000      1.1676      0.6276
   2014.0000     10.0000      1.0000      0.0000      0.0000      4.0000    -60.7114     -1.9489     84.0000     60.0000     27.1094      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      1.0000      2.3464      0.7270
   2014.0000     10.0000      1.0000      0.0000      0.0000      4.0000    -60.6914     -1.9489     85.0000     60.0000     23.8906      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      1.0000      1.4316      0.3612
   2014.0000     10.0000      1.0000      0.0000      0.0000      4.0000    -60.6714     -1.9489     86.0000     60.0000     25.7188      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      1.0000      1.8954      0.6291
   2014.0000     10.0000      1.0000      0.0000      0.0000      4.0000    -60.6514     -1.9489     87.0000     60.0000     25.8750      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      1.0000      1.9414      0.6853
   2014.0000     10.0000      1.0000      0.0000      0.0000      4.0000    -60.6314     -1.9489     88.0000     60.0000     25.7500      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      1.0000      1.9045      0.6863
   2014.0000     10.0000      1.0000      0.0000      0.0000      4.0000    -60.5714     -1.9489     91.0000     60.0000     28.7812      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      1.0000      3.0329      0.6703
   2014.0000     10.0000      1.0000      0.0000      0.0000      4.0000    -60.5514     -1.9489     92.0000     60.0000     27.3438      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      1.0000      2.4323      0.4794
   2014.0000     10.0000      1.0000      0.0000      0.0000      4.0000    -60.5314     -1.9489     93.0000     60.0000     25.7656      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      1.0000      1.9091      0.3929
   2014.0000     10.0000      1.0000      0.0000      0.0000      4.0000    -60.5114     -1.9489     94.0000     60.0000     25.5625      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      1.0000      1.8504      0.3796
