        YEAR       MONTH         DAY        HOUR      MINUTE   N_Cluster         LON         LAT       IND_X       IND_Y     REFLECT   yyyyy_xx1   yyyyy_xx2 yyyyyyy_xx3     yyy_xx4     yyy_xx5       RIVER         CXE    PRECIPIT         VIL
   2014.0000     10.0000      1.0000      0.0000      0.0000      1.0000    -61.2714     -3.4889     56.0000    137.0000     23.1406      0.0000      0.0000      0.0000      0.0000      0.0000     11.0000      1.0000      1.2759      0.3797
   2014.0000     10.0000      1.0000      0.0000      0.0000      1.0000    -61.2514     -3.4889     57.0000    137.0000     21.0625      0.0000      0.0000      0.0000      0.0000      0.0000     11.0000      1.0000      0.9274      0.2267
   2014.0000     10.0000      1.0000      0.0000      0.0000      1.0000    -61.2714     -3.5089     56.0000    138.0000     34.6875      0.0000      0.0000      0.0000      0.0000      0.0000     11.0000      2.0000     11.4230      0.9471
   2014.0000     10.0000      1.0000      0.0000      0.0000      1.0000    -61.2514     -3.5089     57.0000    138.0000     30.9375      0.0000      0.0000      0.0000      0.0000      0.0000     11.0000      2.0000      6.3486      0.6948
   2014.0000     10.0000      1.0000      0.0000      0.0000      1.0000    -61.2714     -3.5289     56.0000    139.0000     34.4531      0.0000      0.0000      0.0000      0.0000      0.0000     11.0000      2.0000     11.0112      0.9097
   2014.0000     10.0000      1.0000      0.0000      0.0000      1.0000    -61.2514     -3.5289     57.0000    139.0000     31.2969      0.0000      0.0000      0.0000      0.0000      0.0000     11.0000      2.0000      6.7162      0.6124
   2014.0000     10.0000      1.0000      0.0000      0.0000      1.0000    -61.3114     -3.5489     54.0000    140.0000     21.8750      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      1.0000      1.0506      0.3888
   2014.0000     10.0000      1.0000      0.0000      0.0000      1.0000    -61.2914     -3.5489     55.0000    140.0000     21.0625      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      1.0000      0.9274      0.2276
   2014.0000     10.0000      1.0000      0.0000      0.0000      1.0000    -61.2714     -3.5489     56.0000    140.0000     25.1406      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      1.0000      1.7344      0.3454
   2014.0000     10.0000      1.0000      0.0000      0.0000      1.0000    -61.2514     -3.5489     57.0000    140.0000     29.7344      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      2.0000      5.2581      0.5570
   2014.0000     10.0000      1.0000      0.0000      0.0000      1.0000    -61.3314     -3.5689     53.0000    141.0000     25.1250      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      1.0000      1.7303      0.4752
   2014.0000     10.0000      1.0000      0.0000      0.0000      1.0000    -61.3114     -3.5689     54.0000    141.0000     26.2656      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      1.0000      2.0613      0.4951
   2014.0000     10.0000      1.0000      0.0000      0.0000      1.0000    -61.2914     -3.5689     55.0000    141.0000     21.6406      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      1.0000      1.0135      0.2949
   2014.0000     10.0000      1.0000      0.0000      0.0000      1.0000    -61.2714     -3.5689     56.0000    141.0000     20.4062      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      1.0000      0.8385      0.2876
   2014.0000     10.0000      1.0000      0.0000      0.0000      1.0000    -61.2514     -3.5689     57.0000    141.0000     22.5469      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      1.0000      1.1648      0.3279
   2014.0000     10.0000      1.0000      0.0000      0.0000      1.0000    -61.3314     -3.5889     53.0000    142.0000     24.5938      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      1.0000      1.5948      0.5027
   2014.0000     10.0000      1.0000      0.0000      0.0000      1.0000    -61.3114     -3.5889     54.0000    142.0000     29.9062      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      2.0000      5.4016      0.8506
   2014.0000     10.0000      1.0000      0.0000      0.0000      1.0000    -61.2914     -3.5889     55.0000    142.0000     28.0469      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      2.0000      4.0368      0.5961
   2014.0000     10.0000      1.0000      0.0000      0.0000      1.0000    -61.2714     -3.5889     56.0000    142.0000     21.4219      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      1.0000      0.9800      0.3030
   2014.0000     10.0000      1.0000      0.0000      0.0000      1.0000    -61.2514     -3.5889     57.0000    142.0000     23.5781      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      1.0000      1.3645      0.3647
