        YEAR       MONTH         DAY        HOUR      MINUTE   N_Cluster         LON         LAT       IND_X       IND_Y     REFLECT   yyyyy_xx1   yyyyy_xx2 yyyyyyy_xx3     yyy_xx4     yyy_xx5       RIVER         CXE    PRECIPIT         VIL
   2014.0000      2.0000      1.0000      0.0000      0.0000      4.0000    -60.3114     -1.8489    104.0000     55.0000     23.2500      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      1.0000      1.2975      0.3492
   2014.0000      2.0000      1.0000      0.0000      0.0000      4.0000    -60.2914     -1.8489    105.0000     55.0000     21.9219      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      1.0000      1.0582      0.2795
   2014.0000      2.0000      1.0000      0.0000      0.0000      4.0000    -60.2714     -1.8489    106.0000     55.0000     20.9219      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      1.0000      0.9076      0.2377
   2014.0000      2.0000      1.0000      0.0000      0.0000      4.0000    -60.4314     -1.8689     98.0000     56.0000     21.1250      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      1.0000      0.9364      0.2882
   2014.0000      2.0000      1.0000      0.0000      0.0000      4.0000    -60.4114     -1.8689     99.0000     56.0000     22.0312      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      1.0000      1.0761      0.2962
   2014.0000      2.0000      1.0000      0.0000      0.0000      4.0000    -60.3914     -1.8689    100.0000     56.0000     23.5781      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      1.0000      1.3645      0.3266
   2014.0000      2.0000      1.0000      0.0000      0.0000      4.0000    -60.3714     -1.8689    101.0000     56.0000     25.1875      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      2.0000      2.5794      0.4254
   2014.0000      2.0000      1.0000      0.0000      0.0000      4.0000    -60.3514     -1.8689    102.0000     56.0000     22.4844      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      1.0000      1.1536      0.4287
   2014.0000      2.0000      1.0000      0.0000      0.0000      4.0000    -60.3314     -1.8689    103.0000     56.0000     24.1250      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      2.0000      2.1839      0.4934
   2014.0000      2.0000      1.0000      0.0000      0.0000      4.0000    -60.3114     -1.8689    104.0000     56.0000     23.3906      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      1.0000      1.3258      0.4435
   2014.0000      2.0000      1.0000      0.0000      0.0000      4.0000    -60.2914     -1.8689    105.0000     56.0000     22.1875      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      1.0000      1.1022      0.3717
   2014.0000      2.0000      1.0000      0.0000      0.0000      4.0000    -60.2714     -1.8689    106.0000     56.0000     22.9375      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      2.0000      1.8133      0.3268
   2014.0000      2.0000      1.0000      0.0000      0.0000      4.0000    -60.2514     -1.8689    107.0000     56.0000     20.5781      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      1.0000      0.8610      0.2444
   2014.0000      2.0000      1.0000      0.0000      0.0000      4.0000    -60.4114     -1.8889     99.0000     57.0000     21.2969      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      1.0000      0.9614      0.2904
   2014.0000      2.0000      1.0000      0.0000      0.0000      4.0000    -60.3914     -1.8889    100.0000     57.0000     21.8594      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      1.0000      1.0481      0.3216
