        YEAR       MONTH         DAY        HOUR      MINUTE   N_Cluster         LON         LAT       IND_X       IND_Y     REFLECT   yyyyy_xx1   yyyyy_xx2 yyyyyyy_xx3     yyy_xx4     yyy_xx5       RIVER         CXE    PRECIPIT         VIL
   2014.0000      8.0000      1.0000      0.0000      0.0000      5.0000    -60.7114     -1.8089     84.0000     53.0000     20.3750      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      1.0000      0.8345      0.2359
   2014.0000      8.0000      1.0000      0.0000      0.0000      5.0000    -60.6914     -1.8089     85.0000     53.0000     20.4531      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      1.0000      0.8446      0.2423
   2014.0000      8.0000      1.0000      0.0000      0.0000      5.0000    -60.6714     -1.8089     86.0000     53.0000     20.0781      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      1.0000      0.7974      0.2460
   2014.0000      8.0000      1.0000      0.0000      0.0000      5.0000    -60.7714     -1.8289     81.0000     54.0000     20.5156      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      1.0000      0.8527      0.1908
   2014.0000      8.0000      1.0000      0.0000      0.0000      5.0000    -60.7514     -1.8289     82.0000     54.0000     23.2969      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      2.0000      1.9183      0.2526
   2014.0000      8.0000      1.0000      0.0000      0.0000      5.0000    -60.7314     -1.8289     83.0000     54.0000     21.8594      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      2.0000      1.5315      0.2601
   2014.0000      8.0000      1.0000      0.0000      0.0000      5.0000    -60.7114     -1.8289     84.0000     54.0000     21.1406      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      1.0000      0.9386      0.2498
   2014.0000      8.0000      1.0000      0.0000      0.0000      5.0000    -60.6914     -1.8289     85.0000     54.0000     20.1094      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      1.0000      0.8012      0.2379
   2014.0000      8.0000      1.0000      0.0000      0.0000      5.0000    -60.7914     -1.8489     80.0000     55.0000     23.1406      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      2.0000      1.8719      0.2337
   2014.0000      8.0000      1.0000      0.0000      0.0000      5.0000    -60.7714     -1.8489     81.0000     55.0000     24.7969      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      2.0000      2.4263      0.2794
