        YEAR       MONTH         DAY        HOUR      MINUTE   N_Cluster         LON         LAT       IND_X       IND_Y     REFLECT   yyyyy_xx1   yyyyy_xx2 yyyyyyy_xx3     yyy_xx4     yyy_xx5       RIVER         CXE    PRECIPIT         VIL
   2014.0000      9.0000      1.0000     16.0000     24.0000      2.0000    -58.4514     -3.5289    197.0000    139.0000     25.5000      0.0000      0.0000      0.0000      0.0000      0.0000     11.0000      1.0000      1.8328      0.4448
   2014.0000      9.0000      1.0000     16.0000     24.0000      2.0000    -58.4314     -3.5289    198.0000    139.0000     26.2969      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      1.0000      2.0713      0.4536
   2014.0000      9.0000      1.0000     16.0000     24.0000      2.0000    -58.4514     -3.5489    197.0000    140.0000     25.2188      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      1.0000      1.7553      0.5460
   2014.0000      9.0000      1.0000     16.0000     24.0000      2.0000    -58.4314     -3.5489    198.0000    140.0000     26.1875      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      1.0000      2.0368      0.6728
   2014.0000      9.0000      1.0000     16.0000     24.0000      2.0000    -58.4714     -3.5689    196.0000    141.0000     22.5312      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      1.0000      1.1620      0.5663
   2014.0000      9.0000      1.0000     16.0000     24.0000      2.0000    -58.4514     -3.5689    197.0000    141.0000     33.2656      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      2.0000      9.1423      1.5529
   2014.0000      9.0000      1.0000     16.0000     24.0000      2.0000    -58.4314     -3.5689    198.0000    141.0000     35.9688      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      2.0000     13.9617      1.3663
   2014.0000      9.0000      1.0000     16.0000     24.0000      2.0000    -58.4914     -3.5889    195.0000    142.0000     20.1875      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      1.0000      0.8109      0.3034
   2014.0000      9.0000      1.0000     16.0000     24.0000      2.0000    -58.4714     -3.5889    196.0000    142.0000     23.7656      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      1.0000      1.4044      0.6530
   2014.0000      9.0000      1.0000     16.0000     24.0000      2.0000    -58.4514     -3.5889    197.0000    142.0000     36.2500      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      2.0000     14.5906      1.8684
