        YEAR       MONTH         DAY        HOUR      MINUTE   N_Cluster         LON         LAT       IND_X       IND_Y     REFLECT   yyyyy_xx1   yyyyy_xx2 yyyyyyy_xx3     yyy_xx4     yyy_xx5       RIVER         CXE    PRECIPIT         VIL
   2014.0000      9.0000      1.0000     16.0000     12.0000      1.0000    -59.0514     -2.2889    167.0000     77.0000     20.4062      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      1.0000      0.8385      0.4426
   2014.0000      9.0000      1.0000     16.0000     12.0000      1.0000    -59.0314     -2.2889    168.0000     77.0000     21.5469      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      1.0000      0.9990      0.4398
   2014.0000      9.0000      1.0000     16.0000     12.0000      1.0000    -59.0114     -2.2889    169.0000     77.0000     26.2188      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      1.0000      2.0466      0.5047
   2014.0000      9.0000      1.0000     16.0000     12.0000      1.0000    -59.0314     -2.3089    168.0000     78.0000     27.4062      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      1.0000      2.4558      0.8509
   2014.0000      9.0000      1.0000     16.0000     12.0000      1.0000    -59.0114     -2.3089    169.0000     78.0000     29.2031      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      2.0000      4.8383      0.9071
   2014.0000      9.0000      1.0000     16.0000     12.0000      1.0000    -58.9914     -2.3089    170.0000     78.0000     29.1094      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      1.0000      3.1896      0.6222
   2014.0000      9.0000      1.0000     16.0000     12.0000      1.0000    -59.0114     -2.3289    169.0000     79.0000     36.2188      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      2.0000     14.5193      2.4877
   2014.0000      9.0000      1.0000     16.0000     12.0000      1.0000    -58.9914     -2.3289    170.0000     79.0000     35.5469      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      2.0000     13.0689      2.3551
   2014.0000      9.0000      1.0000     16.0000     12.0000      1.0000    -58.9714     -2.3289    171.0000     79.0000     25.5156      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      1.0000      1.8372      0.4424
   2014.0000      9.0000      1.0000     16.0000     12.0000      1.0000    -58.9914     -2.3489    170.0000     80.0000     34.1719      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      2.0000     10.5367      1.7901
   2014.0000      9.0000      1.0000     16.0000     12.0000      1.0000    -58.9714     -2.3489    171.0000     80.0000     32.0000      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      2.0000      7.4982      1.4125
   2014.0000      9.0000      1.0000     16.0000     12.0000      1.0000    -58.9514     -2.3489    172.0000     80.0000     27.2344      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      1.0000      2.3919      0.3793
   2014.0000      9.0000      1.0000     16.0000     12.0000      1.0000    -58.9714     -2.3689    171.0000     81.0000     25.4375      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      1.0000      1.8153      0.6850
   2014.0000      9.0000      1.0000     16.0000     12.0000      1.0000    -58.9514     -2.3689    172.0000     81.0000     26.0312      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      1.0000      1.9885      0.5517
   2014.0000      9.0000      1.0000     16.0000     24.0000      1.0000    -59.1314     -2.2289    163.0000     74.0000     21.7188      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      1.0000      1.0257      0.1798
   2014.0000      9.0000      1.0000     16.0000     24.0000      1.0000    -59.1114     -2.2289    164.0000     74.0000     20.2031      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      1.0000      0.8128      0.1473
   2014.0000      9.0000      1.0000     16.0000     24.0000      1.0000    -59.0914     -2.2289    165.0000     74.0000     20.2031      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      1.0000      0.8128      0.1473
   2014.0000      9.0000      1.0000     16.0000     24.0000      1.0000    -59.1314     -2.2489    163.0000     75.0000     22.3750      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      1.0000      1.1344      0.2420
   2014.0000      9.0000      1.0000     16.0000     24.0000      1.0000    -59.1114     -2.2489    164.0000     75.0000     22.5000      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      1.0000      1.1564      0.4146
   2014.0000      9.0000      1.0000     16.0000     24.0000      1.0000    -59.1314     -2.2689    163.0000     76.0000     22.2656      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      1.0000      1.1155      0.2291
   2014.0000      9.0000      1.0000     16.0000     24.0000      1.0000    -59.1114     -2.2689    164.0000     76.0000     30.9375      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      2.0000      6.3486      0.7597
   2014.0000      9.0000      1.0000     16.0000     24.0000      1.0000    -59.0914     -2.2689    165.0000     76.0000     31.6562      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      2.0000      7.1051      0.8709
   2014.0000      9.0000      1.0000     16.0000     24.0000      1.0000    -59.0714     -2.2689    166.0000     76.0000     22.7812      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      1.0000      1.2074      0.3586
   2014.0000      9.0000      1.0000     16.0000     24.0000      1.0000    -59.0514     -2.2689    167.0000     76.0000     21.3750      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      1.0000      0.9730      0.3861
   2014.0000      9.0000      1.0000     16.0000     24.0000      1.0000    -59.1114     -2.2889    164.0000     77.0000     31.9531      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      2.0000      7.4433      0.8686
   2014.0000      9.0000      1.0000     16.0000     24.0000      1.0000    -59.0914     -2.2889    165.0000     77.0000     34.3125      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      2.0000     10.7713      1.1930
   2014.0000      9.0000      1.0000     16.0000     24.0000      1.0000    -59.0714     -2.2889    166.0000     77.0000     33.7344      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      2.0000      9.8388      1.1168
   2014.0000      9.0000      1.0000     16.0000     24.0000      1.0000    -59.0514     -2.2889    167.0000     77.0000     31.0156      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      2.0000      6.4268      0.8647
