        YEAR       MONTH         DAY        HOUR      MINUTE   N_Cluster         LON         LAT       IND_X       IND_Y     REFLECT   yyyyy_xx1   yyyyy_xx2 yyyyyyy_xx3     yyy_xx4     yyy_xx5       RIVER         CXE    PRECIPIT         VIL
   2014.0000      3.0000      1.0000      0.0000      0.0000      2.0000    -60.7314     -1.7289     83.0000     49.0000     21.2031      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      1.0000      0.9477      0.1680
   2014.0000      3.0000      1.0000      0.0000      0.0000      2.0000    -60.7914     -1.7489     80.0000     50.0000     20.9844      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      1.0000      0.9164      0.2786
   2014.0000      3.0000      1.0000      0.0000      0.0000      2.0000    -60.7714     -1.7489     81.0000     50.0000     21.7500      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      1.0000      1.0306      0.2494
   2014.0000      3.0000      1.0000      0.0000      0.0000      2.0000    -60.7514     -1.7489     82.0000     50.0000     21.2188      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      1.0000      0.9499      0.2413
   2014.0000      3.0000      1.0000      0.0000      0.0000      2.0000    -60.7314     -1.7489     83.0000     50.0000     21.4375      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      1.0000      0.9824      0.1745
   2014.0000      3.0000      1.0000      0.0000      0.0000      2.0000    -60.8314     -1.7689     78.0000     51.0000     23.6406      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      1.0000      1.3777      0.6293
   2014.0000      3.0000      1.0000      0.0000      0.0000      2.0000    -60.8114     -1.7689     79.0000     51.0000     21.9375      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      1.0000      1.0607      0.3599
   2014.0000      3.0000      1.0000      0.0000      0.0000      2.0000    -60.7914     -1.7689     80.0000     51.0000     23.6875      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      1.0000      1.3876      0.3082
   2014.0000      3.0000      1.0000      0.0000      0.0000      2.0000    -60.7714     -1.7689     81.0000     51.0000     22.7969      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      1.0000      1.2103      0.3340
   2014.0000      3.0000      1.0000      0.0000      0.0000      2.0000    -60.7514     -1.7689     82.0000     51.0000     21.2344      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      1.0000      0.9522      0.1675
