        YEAR       MONTH         DAY        HOUR      MINUTE   N_Cluster         LON         LAT       IND_X       IND_Y     REFLECT   yyyyy_xx1   yyyyy_xx2 yyyyyyy_xx3     yyy_xx4     yyy_xx5       RIVER         CXE    PRECIPIT         VIL
   2014.0000      3.0000      1.0000      0.0000      0.0000      3.0000    -60.5714     -1.9089     91.0000     58.0000     19.9844      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      1.0000      0.7860      0.2506
   2014.0000      3.0000      1.0000      0.0000      0.0000      3.0000    -60.6114     -1.9289     89.0000     59.0000     20.0469      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      1.0000      0.7935      0.2580
   2014.0000      3.0000      1.0000      0.0000      0.0000      3.0000    -60.5914     -1.9289     90.0000     59.0000     21.4062      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      1.0000      0.9777      0.2767
   2014.0000      3.0000      1.0000      0.0000      0.0000      3.0000    -60.5714     -1.9289     91.0000     59.0000     23.0781      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      2.0000      1.8536      0.3168
   2014.0000      3.0000      1.0000      0.0000      0.0000      3.0000    -60.5514     -1.9289     92.0000     59.0000     21.2656      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      1.0000      0.9568      0.2724
   2014.0000      3.0000      1.0000      0.0000      0.0000      3.0000    -60.5314     -1.9289     93.0000     59.0000     20.4531      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      1.0000      0.8446      0.2501
   2014.0000      3.0000      1.0000      0.0000      0.0000      3.0000    -60.5914     -1.9489     90.0000     60.0000     23.5312      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      2.0000      1.9900      0.3200
   2014.0000      3.0000      1.0000      0.0000      0.0000      3.0000    -60.5714     -1.9489     91.0000     60.0000     22.6094      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      2.0000      1.7224      0.3155
   2014.0000      3.0000      1.0000      0.0000      0.0000      3.0000    -60.5514     -1.9489     92.0000     60.0000     22.2188      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      2.0000      1.6202      0.3083
   2014.0000      3.0000      1.0000      0.0000      0.0000      3.0000    -60.5314     -1.9489     93.0000     60.0000     21.9062      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      2.0000      1.5428      0.2890
   2014.0000      3.0000      1.0000      0.0000      0.0000      3.0000    -60.6114     -1.9689     89.0000     61.0000     21.7812      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      1.0000      1.0356      0.2908
   2014.0000      3.0000      1.0000      0.0000      0.0000      3.0000    -60.5914     -1.9689     90.0000     61.0000     23.4844      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      2.0000      1.9754      0.3316
   2014.0000      3.0000      1.0000      0.0000      0.0000      3.0000    -60.5714     -1.9689     91.0000     61.0000     22.8594      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      2.0000      1.7912      0.3805
   2014.0000      3.0000      1.0000      0.0000      0.0000      3.0000    -60.5514     -1.9689     92.0000     61.0000     21.2969      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      1.0000      0.9614      0.3435
   2014.0000      3.0000      1.0000      0.0000      0.0000      3.0000    -60.5314     -1.9689     93.0000     61.0000     22.8438      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      2.0000      1.7868      0.3289
   2014.0000      3.0000      1.0000      0.0000      0.0000      3.0000    -60.5114     -1.9689     94.0000     61.0000     20.1719      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      1.0000      0.8089      0.2902
   2014.0000      3.0000      1.0000      0.0000      0.0000      3.0000    -60.6514     -1.9889     87.0000     62.0000     22.4531      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      1.0000      1.1481      0.2925
   2014.0000      3.0000      1.0000      0.0000      0.0000      3.0000    -60.6314     -1.9889     88.0000     62.0000     23.7812      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      2.0000      2.0695      0.3354
   2014.0000      3.0000      1.0000      0.0000      0.0000      3.0000    -60.6114     -1.9889     89.0000     62.0000     24.8125      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      2.0000      2.4323      0.4459
   2014.0000      3.0000      1.0000      0.0000      0.0000      3.0000    -60.5914     -1.9889     90.0000     62.0000     23.6719      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      2.0000      2.0343      0.3951
